	ph	exon	ph_chr	ph_start	ph_end	ph_strand	exon_chr	exon_start	exon_end	exon_strand	strand
632	chr17_27411766_27416982_-	chr17_27412622_27412666_-	17	27411766	27416982	-	17	27412622	27412666	-	-1
633	chr17_27412587_27418521_-	chr17_27412622_27412666_-	17	27412587	27418521	-	17	27412622	27412666	-	-1
635	chr17_29577014_29581680_+	chr17_29579956_29580018_+	17	29577014	29581680	+	17	29579956	29580018	+	1
637	chr17_29578271_29581676_+	chr17_29579956_29580018_+	17	29578271	29581676	+	17	29579956	29580018	+	1
639	chr17_29578301_29581676_+	chr17_29579956_29580018_+	17	29578301	29581676	+	17	29579956	29580018	+	1
640	chr17_29578311_29580168_+	chr17_29579956_29580018_+	17	29578311	29580168	+	17	29579956	29580018	+	1
641	chr17_29579519_29580223_+	chr17_29579956_29580018_+	17	29579519	29580223	+	17	29579956	29580018	+	1
642	chr17_29579711_29580146_+	chr17_29579956_29580018_+	17	29579711	29580146	+	17	29579956	29580018	+	1
643	chr17_29579750_29580156_+	chr17_29579956_29580018_+	17	29579750	29580156	+	17	29579956	29580018	+	1
644	chr17_29579752_29580197_+	chr17_29579956_29580018_+	17	29579752	29580197	+	17	29579956	29580018	+	1
645	chr17_29579910_29580256_+	chr17_29579956_29580018_+	17	29579910	29580256	+	17	29579956	29580018	+	1
646	chr17_30688599_30697169_+	chr17_30693684_30693776_+	17	30688599	30697169	+	17	30693684	30693776	+	1
647	chr17_30688599_30697169_+	chr17_30693696_30693776_+	17	30688599	30697169	+	17	30693696	30693776	+	1
648	chr17_30689000_30697146_+	chr17_30693684_30693776_+	17	30689000	30697146	+	17	30693684	30693776	+	1
649	chr17_30689000_30697146_+	chr17_30693696_30693776_+	17	30689000	30697146	+	17	30693696	30693776	+	1
650	chr17_38279690_38288295_+	chr17_38287254_38287837_+	17	38279690	38288295	+	17	38287254	38287837	+	1
651	chr17_38280804_38288291_+	chr17_38287254_38287837_+	17	38280804	38288291	+	17	38287254	38287837	+	1
652	chr17_46125682_46126233_+	chr17_46126135_46126226_+	17	46125682	46126233	+	17	46126135	46126226	+	1
653	chr17_46125682_46126233_+	chr17_46126146_46126226_+	17	46125682	46126233	+	17	46126146	46126226	+	1
654	chr17_46125712_46132899_+	chr17_46126135_46126226_+	17	46125712	46132899	+	17	46126135	46126226	+	1
655	chr17_46125712_46132899_+	chr17_46126146_46126226_+	17	46125712	46132899	+	17	46126146	46126226	+	1
656	chr17_46125715_46128318_+	chr17_46126135_46126226_+	17	46125715	46128318	+	17	46126135	46126226	+	1
658	chr17_46125715_46128318_+	chr17_46126146_46126226_+	17	46125715	46128318	+	17	46126146	46126226	+	1
660	chr17_46125715_46132069_+	chr17_46126135_46126226_+	17	46125715	46132069	+	17	46126135	46126226	+	1
661	chr17_46125715_46132069_+	chr17_46126146_46126226_+	17	46125715	46132069	+	17	46126146	46126226	+	1
662	chr17_46125729_46132094_+	chr17_46126135_46126226_+	17	46125729	46132094	+	17	46126135	46126226	+	1
663	chr17_46125729_46132094_+	chr17_46126146_46126226_+	17	46125729	46132094	+	17	46126146	46126226	+	1
664	chr17_46125729_46132142_+	chr17_46126135_46126226_+	17	46125729	46132142	+	17	46126135	46126226	+	1
665	chr17_46125729_46132142_+	chr17_46126146_46126226_+	17	46125729	46132142	+	17	46126146	46126226	+	1
666	chr17_46125730_46132024_+	chr17_46126135_46126226_+	17	46125730	46132024	+	17	46126135	46126226	+	1
667	chr17_46125730_46132024_+	chr17_46126146_46126226_+	17	46125730	46132024	+	17	46126146	46126226	+	1
668	chr17_46125731_46129260_+	chr17_46126135_46126226_+	17	46125731	46129260	+	17	46126135	46126226	+	1
669	chr17_46125731_46129260_+	chr17_46126146_46126226_+	17	46125731	46129260	+	17	46126146	46126226	+	1
670	chr17_46125734_46128042_+	chr17_46126135_46126226_+	17	46125734	46128042	+	17	46126135	46126226	+	1
672	chr17_46125734_46128042_+	chr17_46126146_46126226_+	17	46125734	46128042	+	17	46126146	46126226	+	1
674	chr17_46125735_46129578_+	chr17_46126135_46126226_+	17	46125735	46129578	+	17	46126135	46126226	+	1
675	chr17_46125735_46129578_+	chr17_46126146_46126226_+	17	46125735	46129578	+	17	46126146	46126226	+	1
676	chr17_46125737_46128278_+	chr17_46126135_46126226_+	17	46125737	46128278	+	17	46126135	46126226	+	1
678	chr17_46125737_46128278_+	chr17_46126146_46126226_+	17	46125737	46128278	+	17	46126146	46126226	+	1
680	chr17_46125743_46130839_+	chr17_46126135_46126226_+	17	46125743	46130839	+	17	46126135	46126226	+	1
681	chr17_46125743_46130839_+	chr17_46126146_46126226_+	17	46125743	46130839	+	17	46126146	46126226	+	1
682	chr17_46125744_46128401_+	chr17_46126135_46126226_+	17	46125744	46128401	+	17	46126135	46126226	+	1
684	chr17_46125744_46128401_+	chr17_46126146_46126226_+	17	46125744	46128401	+	17	46126146	46126226	+	1
686	chr17_46125754_46134391_+	chr17_46126135_46126226_+	17	46125754	46134391	+	17	46126135	46126226	+	1
687	chr17_46125754_46134391_+	chr17_46126146_46126226_+	17	46125754	46134391	+	17	46126146	46126226	+	1
688	chr17_46125755_46130913_+	chr17_46126135_46126226_+	17	46125755	46130913	+	17	46126135	46126226	+	1
689	chr17_46125755_46130913_+	chr17_46126146_46126226_+	17	46125755	46130913	+	17	46126146	46126226	+	1
690	chr17_46125764_46131456_+	chr17_46126135_46126226_+	17	46125764	46131456	+	17	46126135	46126226	+	1
691	chr17_46125764_46131456_+	chr17_46126146_46126226_+	17	46125764	46131456	+	17	46126146	46126226	+	1
692	chr17_46125769_46126234_+	chr17_46126135_46126226_+	17	46125769	46126234	+	17	46126135	46126226	+	1
694	chr17_46125769_46126234_+	chr17_46126146_46126226_+	17	46125769	46126234	+	17	46126146	46126226	+	1
696	chr17_46125773_46128218_+	chr17_46126135_46126226_+	17	46125773	46128218	+	17	46126135	46126226	+	1
698	chr17_46125773_46128218_+	chr17_46126146_46126226_+	17	46125773	46128218	+	17	46126146	46126226	+	1
700	chr17_46125775_46129473_+	chr17_46126135_46126226_+	17	46125775	46129473	+	17	46126135	46126226	+	1
701	chr17_46125775_46129473_+	chr17_46126146_46126226_+	17	46125775	46129473	+	17	46126146	46126226	+	1
702	chr17_46125775_46132079_+	chr17_46126135_46126226_+	17	46125775	46132079	+	17	46126135	46126226	+	1
703	chr17_46125775_46132079_+	chr17_46126146_46126226_+	17	46125775	46132079	+	17	46126146	46126226	+	1
704	chr17_46125776_46131033_+	chr17_46126135_46126226_+	17	46125776	46131033	+	17	46126135	46126226	+	1
705	chr17_46125776_46131033_+	chr17_46126146_46126226_+	17	46125776	46131033	+	17	46126146	46126226	+	1
706	chr17_46125778_46128042_+	chr17_46126135_46126226_+	17	46125778	46128042	+	17	46126135	46126226	+	1
708	chr17_46125778_46128042_+	chr17_46126146_46126226_+	17	46125778	46128042	+	17	46126146	46126226	+	1
710	chr17_46125779_46129523_+	chr17_46126135_46126226_+	17	46125779	46129523	+	17	46126135	46126226	+	1
711	chr17_46125779_46129523_+	chr17_46126146_46126226_+	17	46125779	46129523	+	17	46126146	46126226	+	1
712	chr17_46125780_46132158_+	chr17_46126135_46126226_+	17	46125780	46132158	+	17	46126135	46126226	+	1
713	chr17_46125780_46132158_+	chr17_46126146_46126226_+	17	46125780	46132158	+	17	46126146	46126226	+	1
714	chr17_46125782_46134401_+	chr17_46126135_46126226_+	17	46125782	46134401	+	17	46126135	46126226	+	1
715	chr17_46125782_46134401_+	chr17_46126146_46126226_+	17	46125782	46134401	+	17	46126146	46126226	+	1
716	chr17_46125786_46130906_+	chr17_46126135_46126226_+	17	46125786	46130906	+	17	46126135	46126226	+	1
717	chr17_46125786_46130906_+	chr17_46126146_46126226_+	17	46125786	46130906	+	17	46126146	46126226	+	1
718	chr17_46125789_46134715_+	chr17_46126135_46126226_+	17	46125789	46134715	+	17	46126135	46126226	+	1
719	chr17_46125789_46134715_+	chr17_46126146_46126226_+	17	46125789	46134715	+	17	46126146	46126226	+	1
720	chr17_46125790_46130782_+	chr17_46126135_46126226_+	17	46125790	46130782	+	17	46126135	46126226	+	1
721	chr17_46125790_46130782_+	chr17_46126146_46126226_+	17	46125790	46130782	+	17	46126146	46126226	+	1
722	chr17_46125791_46132074_+	chr17_46126135_46126226_+	17	46125791	46132074	+	17	46126135	46126226	+	1
723	chr17_46125791_46132074_+	chr17_46126146_46126226_+	17	46125791	46132074	+	17	46126146	46126226	+	1
724	chr17_46125792_46134393_+	chr17_46126135_46126226_+	17	46125792	46134393	+	17	46126135	46126226	+	1
725	chr17_46125792_46134393_+	chr17_46126146_46126226_+	17	46125792	46134393	+	17	46126146	46126226	+	1
726	chr17_46125802_46129256_+	chr17_46126135_46126226_+	17	46125802	46129256	+	17	46126135	46126226	+	1
727	chr17_46125802_46129256_+	chr17_46126146_46126226_+	17	46125802	46129256	+	17	46126146	46126226	+	1
728	chr17_46125818_46129259_+	chr17_46126135_46126226_+	17	46125818	46129259	+	17	46126135	46126226	+	1
729	chr17_46125818_46129259_+	chr17_46126146_46126226_+	17	46125818	46129259	+	17	46126146	46126226	+	1
730	chr17_46125872_46128352_+	chr17_46126135_46126226_+	17	46125872	46128352	+	17	46126135	46126226	+	1
731	chr17_46125872_46128352_+	chr17_46126146_46126226_+	17	46125872	46128352	+	17	46126146	46126226	+	1
732	chr17_46125888_46128044_+	chr17_46126135_46126226_+	17	46125888	46128044	+	17	46126135	46126226	+	1
733	chr17_46125888_46128044_+	chr17_46126146_46126226_+	17	46125888	46128044	+	17	46126146	46126226	+	1
734	chr17_46126020_46127991_+	chr17_46126135_46126226_+	17	46126020	46127991	+	17	46126135	46126226	+	1
735	chr17_46126020_46127991_+	chr17_46126146_46126226_+	17	46126020	46127991	+	17	46126146	46126226	+	1
736	chr17_46126024_46128353_+	chr17_46126135_46126226_+	17	46126024	46128353	+	17	46126135	46126226	+	1
738	chr17_46126024_46128353_+	chr17_46126146_46126226_+	17	46126024	46128353	+	17	46126146	46126226	+	1
740	chr17_46126051_46128378_+	chr17_46126135_46126226_+	17	46126051	46128378	+	17	46126135	46126226	+	1
741	chr17_46126051_46128378_+	chr17_46126146_46126226_+	17	46126051	46128378	+	17	46126146	46126226	+	1
742	chr17_46126100_46127989_+	chr17_46126135_46126226_+	17	46126100	46127989	+	17	46126135	46126226	+	1
743	chr17_46126100_46127989_+	chr17_46126146_46126226_+	17	46126100	46127989	+	17	46126146	46126226	+	1
744	chr17_46126125_46128297_+	chr17_46126135_46126226_+	17	46126125	46128297	+	17	46126135	46126226	+	1
745	chr17_46126125_46128297_+	chr17_46126146_46126226_+	17	46126125	46128297	+	17	46126146	46126226	+	1
746	chr17_49336303_49336684_-	chr17_49336504_49336567_-	17	49336303	49336684	-	17	49336504	49336567	-	-1
747	chr17_56080985_56084653_-	chr17_56082759_56082961_-	17	56080985	56084653	-	17	56082759	56082961	-	-1
748	chr17_56080985_56084653_-	chr17_56082775_56082961_-	17	56080985	56084653	-	17	56082775	56082961	-	-1
749	chr17_56081856_56083019_-	chr17_56082759_56082961_-	17	56081856	56083019	-	17	56082759	56082961	-	-1
750	chr17_56081856_56083019_-	chr17_56082775_56082961_-	17	56081856	56083019	-	17	56082775	56082961	-	-1
751	chr17_56082409_56083014_-	chr17_56082759_56082961_-	17	56082409	56083014	-	17	56082759	56082961	-	-1
752	chr17_56082409_56083014_-	chr17_56082775_56082961_-	17	56082409	56083014	-	17	56082775	56082961	-	-1
753	chr17_56082499_56084590_-	chr17_56082759_56082961_-	17	56082499	56084590	-	17	56082759	56082961	-	-1
754	chr17_56082499_56084590_-	chr17_56082775_56082961_-	17	56082499	56084590	-	17	56082775	56082961	-	-1
755	chr17_56082595_56083891_-	chr17_56082759_56082961_-	17	56082595	56083891	-	17	56082759	56082961	-	-1
756	chr17_56082595_56083891_-	chr17_56082775_56082961_-	17	56082595	56083891	-	17	56082775	56082961	-	-1
757	chr17_56082621_56084031_-	chr17_56082759_56082961_-	17	56082621	56084031	-	17	56082759	56082961	-	-1
758	chr17_56082621_56084031_-	chr17_56082775_56082961_-	17	56082621	56084031	-	17	56082775	56082961	-	-1
759	chr17_56082662_56084533_-	chr17_56082759_56082961_-	17	56082662	56084533	-	17	56082759	56082961	-	-1
760	chr17_56082662_56084533_-	chr17_56082775_56082961_-	17	56082662	56084533	-	17	56082775	56082961	-	-1
761	chr17_56082713_56082966_-	chr17_56082759_56082961_-	17	56082713	56082966	-	17	56082759	56082961	-	-1
762	chr17_56082713_56082966_-	chr17_56082775_56082961_-	17	56082713	56082966	-	17	56082775	56082961	-	-1
763	chr17_56082731_56084299_-	chr17_56082759_56082961_-	17	56082731	56084299	-	17	56082759	56082961	-	-1
764	chr17_56082731_56084299_-	chr17_56082775_56082961_-	17	56082731	56084299	-	17	56082775	56082961	-	-1
765	chr17_61800492_61805698_-	chr17_61803998_61804055_-	17	61800492	61805698	-	17	61803998	61804055	-	-1
766	chr17_73781291_73788500_+	chr17_73787852_73788100_+	17	73781291	73788500	+	17	73787852	73788100	+	1
767	chr17_74085394_74087345_-	chr17_74087224_74087316_-	17	74085394	74087345	-	17	74087224	74087316	-	-1
768	chr17_74087136_74087355_-	chr17_74087224_74087316_-	17	74087136	74087355	-	17	74087224	74087316	-	-1
769	chr19_11018815_11026402_+	chr19_11022860_11022928_+	19	11018815	11026402	+	19	11022860	11022928	+	1
770	chr19_17316068_17321316_+	chr19_17321142_17321189_+	19	17316068	17321316	+	19	17321142	17321189	+	1
771	chr19_42388457_42396105_+	chr19_42388515_42388560_+	19	42388457	42396105	+	19	42388515	42388560	+	1
772	chr19_54370841_54379486_+	chr19_54371137_54371197_+	19	54370841	54379486	+	19	54371137	54371197	+	1
773	chr2_20541935_20550448_-	chr2_20550358_20550382_-	2	20541935	20550448	-	2	20550358	20550382	-	-1
775	chr2_20541938_20550610_-	chr2_20550358_20550382_-	2	20541938	20550610	-	2	20550358	20550382	-	-1
776	chr2_20541938_20550610_-	chr2_20550358_20550463_-	2	20541938	20550610	-	2	20550358	20550463	-	-1
777	chr2_20549344_20550568_-	chr2_20550358_20550382_-	2	20549344	20550568	-	2	20550358	20550382	-	-1
778	chr2_20549344_20550568_-	chr2_20550358_20550463_-	2	20549344	20550568	-	2	20550358	20550463	-	-1
779	chr2_20550176_20550549_-	chr2_20550358_20550382_-	2	20550176	20550549	-	2	20550358	20550382	-	-1
780	chr2_20550176_20550549_-	chr2_20550358_20550463_-	2	20550176	20550549	-	2	20550358	20550463	-	-1
781	chr2_20550195_20550576_-	chr2_20550358_20550382_-	2	20550195	20550576	-	2	20550358	20550382	-	-1
782	chr2_20550195_20550576_-	chr2_20550358_20550463_-	2	20550195	20550576	-	2	20550358	20550463	-	-1
783	chr2_55526779_55530323_-	chr2_55530205_55530288_-	2	55526779	55530323	-	2	55530205	55530288	-	-1
784	chr2_55527466_55530319_-	chr2_55530205_55530288_-	2	55527466	55530319	-	2	55530205	55530288	-	-1
785	chr2_55530062_55530351_-	chr2_55530205_55530288_-	2	55530062	55530351	-	2	55530205	55530288	-	-1
786	chr2_61406246_61414801_+	chr2_61413115_61413216_+	2	61406246	61414801	+	2	61413115	61413216	+	1
787	chr2_61408507_61417663_+	chr2_61413115_61413216_+	2	61408507	61417663	+	2	61413115	61413216	+	1
788	chr2_61408514_61414709_+	chr2_61413115_61413216_+	2	61408514	61414709	+	2	61413115	61413216	+	1
790	chr2_63215042_63221176_+	chr2_63215066_63215139_+	2	63215042	63221176	+	2	63215066	63215139	+	1
791	chr2_63215042_63221176_+	chr2_63215066_63215173_+	2	63215042	63221176	+	2	63215066	63215173	+	1
792	chr2_63215043_63221287_+	chr2_63215066_63215139_+	2	63215043	63221287	+	2	63215066	63215139	+	1
793	chr2_63215043_63221287_+	chr2_63215066_63215173_+	2	63215043	63221287	+	2	63215066	63215173	+	1
794	chr2_63215044_63216848_+	chr2_63215066_63215139_+	2	63215044	63216848	+	2	63215066	63215139	+	1
795	chr2_63215044_63216848_+	chr2_63215066_63215173_+	2	63215044	63216848	+	2	63215066	63215173	+	1
796	chr2_63215058_63220360_+	chr2_63215066_63215139_+	2	63215058	63220360	+	2	63215066	63215139	+	1
797	chr2_63215058_63220360_+	chr2_63215066_63215173_+	2	63215058	63220360	+	2	63215066	63215173	+	1
798	chr2_70452567_70456238_-	chr2_70455476_70455594_-	2	70452567	70456238	-	2	70455476	70455594	-	-1
799	chr2_70452569_70455686_-	chr2_70455476_70455594_-	2	70452569	70455686	-	2	70455476	70455594	-	-1
800	chr2_74755339_74755551_-	chr2_74755375_74755448_-	2	74755339	74755551	-	2	74755375	74755448	-	-1
801	chr2_74755342_74756819_-	chr2_74755375_74755448_-	2	74755342	74756819	-	2	74755375	74755448	-	-1
802	chr2_74755342_74756819_-	chr2_74755544_74755616_-	2	74755342	74756819	-	2	74755544	74755616	-	-1
803	chr2_102477277_102480211_+	chr2_102477287_102477448_+	2	102477277	102480211	+	2	102477287	102477448	+	1
804	chr2_153535475_153535672_-	chr2_153535570_153535623_-	2	153535475	153535672	-	2	153535570	153535623	-	-1
805	chr2_209169507_209169864_+	chr2_209169570_209169737_+	2	209169507	209169864	+	2	209169570	209169737	+	1
806	chr2_209169507_209169864_+	chr2_209169570_209169852_+	2	209169507	209169864	+	2	209169570	209169852	+	1
807	chr1_82446402_82452755_+	chr1_82452585_82452713_+	1	82446402	82452755	+	1	82452585	82452713	+	1
808	chr2_220084262_220093210_-	chr2_220091596_220091655_-	2	220084262	220093210	-	2	220091596	220091655	-	-1
809	chr2_220084262_220093210_-	chr2_220092644_220092801_-	2	220084262	220093210	-	2	220092644	220092801	-	-1
810	chr2_220084777_220093230_-	chr2_220091596_220091655_-	2	220084777	220093230	-	2	220091596	220091655	-	-1
811	chr2_220084777_220093230_-	chr2_220092644_220092801_-	2	220084777	220093230	-	2	220092644	220092801	-	-1
812	chr2_220086993_220093234_-	chr2_220091596_220091655_-	2	220086993	220093234	-	2	220091596	220091655	-	-1
813	chr2_220086993_220093234_-	chr2_220092644_220092801_-	2	220086993	220093234	-	2	220092644	220092801	-	-1
814	chr1_82447346_82452749_+	chr1_82452585_82452713_+	1	82447346	82452749	+	1	82452585	82452713	+	1
815	chr1_82452295_82452762_+	chr1_82452585_82452713_+	1	82452295	82452762	+	1	82452585	82452713	+	1
816	chr20_2636679_2636880_+	chr20_2636757_2636860_+	20	2636679	2636880	+	20	2636757	2636860	+	1
820	chr20_34322019_34330118_-	chr20_34328021_34328519_-	20	34322019	34330118	-	20	34328021	34328519	-	-1
821	chr20_34322019_34330118_-	chr20_34328447_34328519_-	20	34322019	34330118	-	20	34328447	34328519	-	-1
822	chr20_34322033_34330101_-	chr20_34328021_34328519_-	20	34322033	34330101	-	20	34328021	34328519	-	-1
823	chr20_34322033_34330101_-	chr20_34328447_34328519_-	20	34322033	34330101	-	20	34328447	34328519	-	-1
826	chr20_34322040_34330119_-	chr20_34328021_34328519_-	20	34322040	34330119	-	20	34328021	34328519	-	-1
827	chr20_34322040_34330119_-	chr20_34328447_34328519_-	20	34322040	34330119	-	20	34328447	34328519	-	-1
830	chr20_34322043_34330238_-	chr20_34328021_34328519_-	20	34322043	34330238	-	20	34328021	34328519	-	-1
831	chr20_34322043_34330238_-	chr20_34328447_34328519_-	20	34322043	34330238	-	20	34328447	34328519	-	-1
832	chr20_34322043_34330139_-	chr20_34328021_34328519_-	20	34322043	34330139	-	20	34328021	34328519	-	-1
833	chr20_34322043_34330139_-	chr20_34328447_34328519_-	20	34322043	34330139	-	20	34328447	34328519	-	-1
836	chr20_34322118_34330014_-	chr20_34328021_34328519_-	20	34322118	34330014	-	20	34328021	34328519	-	-1
837	chr20_34322133_34328457_-	chr20_34327025_34327469_-	20	34322133	34328457	-	20	34327025	34327469	-	-1
838	chr20_34322133_34328457_-	chr20_34327315_34327469_-	20	34322133	34328457	-	20	34327315	34327469	-	-1
839	chr20_34322136_34330117_-	chr20_34328021_34328519_-	20	34322136	34330117	-	20	34328021	34328519	-	-1
840	chr20_34322136_34330117_-	chr20_34328447_34328519_-	20	34322136	34330117	-	20	34328447	34328519	-	-1
841	chr20_34322137_34328755_-	chr20_34327025_34327469_-	20	34322137	34328755	-	20	34327025	34327469	-	-1
842	chr20_34322137_34328755_-	chr20_34327315_34327469_-	20	34322137	34328755	-	20	34327315	34327469	-	-1
843	chr20_34322215_34330186_-	chr20_34328021_34328519_-	20	34322215	34330186	-	20	34328021	34328519	-	-1
844	chr20_34322215_34330186_-	chr20_34328447_34328519_-	20	34322215	34330186	-	20	34328447	34328519	-	-1
845	chr20_34322270_34330133_-	chr20_34328021_34328519_-	20	34322270	34330133	-	20	34328021	34328519	-	-1
846	chr20_34322270_34330133_-	chr20_34328447_34328519_-	20	34322270	34330133	-	20	34328447	34328519	-	-1
847	chr20_34322644_34330157_-	chr20_34328021_34328519_-	20	34322644	34330157	-	20	34328021	34328519	-	-1
848	chr20_34322644_34330157_-	chr20_34328447_34328519_-	20	34322644	34330157	-	20	34328447	34328519	-	-1
849	chr20_34322742_34330139_-	chr20_34328021_34328519_-	20	34322742	34330139	-	20	34328021	34328519	-	-1
850	chr20_34322742_34330139_-	chr20_34328447_34328519_-	20	34322742	34330139	-	20	34328447	34328519	-	-1
851	chr20_34323007_34328749_-	chr20_34327025_34327469_-	20	34323007	34328749	-	20	34327025	34327469	-	-1
852	chr20_34323007_34328749_-	chr20_34327315_34327469_-	20	34323007	34328749	-	20	34327315	34327469	-	-1
853	chr20_34326994_34330118_-	chr20_34328021_34328519_-	20	34326994	34330118	-	20	34328021	34328519	-	-1
854	chr20_34326994_34330118_-	chr20_34328447_34328519_-	20	34326994	34330118	-	20	34328447	34328519	-	-1
860	chr20_34327311_34328422_-	chr20_34327315_34327469_-	20	34327311	34328422	-	20	34327315	34327469	-	-1
861	chr20_34327328_34330096_-	chr20_34328021_34328519_-	20	34327328	34330096	-	20	34328021	34328519	-	-1
862	chr20_34327328_34330096_-	chr20_34328447_34328519_-	20	34327328	34330096	-	20	34328447	34328519	-	-1
863	chr20_34327330_34330025_-	chr20_34328021_34328519_-	20	34327330	34330025	-	20	34328021	34328519	-	-1
865	chr20_34327473_34330164_-	chr20_34328021_34328519_-	20	34327473	34330164	-	20	34328021	34328519	-	-1
866	chr20_34327473_34330164_-	chr20_34328447_34328519_-	20	34327473	34330164	-	20	34328447	34328519	-	-1
870	chr20_34327474_34329531_-	chr20_34328021_34328519_-	20	34327474	34329531	-	20	34328021	34328519	-	-1
871	chr20_34327474_34329531_-	chr20_34328447_34328519_-	20	34327474	34329531	-	20	34328447	34328519	-	-1
873	chr20_34327508_34330036_-	chr20_34328021_34328519_-	20	34327508	34330036	-	20	34328021	34328519	-	-1
874	chr20_34327508_34330036_-	chr20_34328447_34328519_-	20	34327508	34330036	-	20	34328447	34328519	-	-1
877	chr20_34327510_34328663_-	chr20_34328021_34328519_-	20	34327510	34328663	-	20	34328021	34328519	-	-1
878	chr20_34327510_34328663_-	chr20_34328447_34328519_-	20	34327510	34328663	-	20	34328447	34328519	-	-1
880	chr20_34327511_34330238_-	chr20_34328021_34328519_-	20	34327511	34330238	-	20	34328021	34328519	-	-1
881	chr20_34327511_34330238_-	chr20_34328447_34328519_-	20	34327511	34330238	-	20	34328447	34328519	-	-1
883	chr20_34327512_34329972_-	chr20_34328021_34328519_-	20	34327512	34329972	-	20	34328021	34328519	-	-1
884	chr20_34327512_34329972_-	chr20_34328447_34328519_-	20	34327512	34329972	-	20	34328447	34328519	-	-1
886	chr20_34327929_34330101_-	chr20_34328021_34328519_-	20	34327929	34330101	-	20	34328021	34328519	-	-1
887	chr20_34327929_34330101_-	chr20_34328447_34328519_-	20	34327929	34330101	-	20	34328447	34328519	-	-1
888	chr20_34328000_34330109_-	chr20_34328021_34328519_-	20	34328000	34330109	-	20	34328021	34328519	-	-1
890	chr20_34328000_34330109_-	chr20_34328447_34328519_-	20	34328000	34330109	-	20	34328447	34328519	-	-1
894	chr20_42087688_42089787_+	chr20_42087793_42088060_+	20	42087688	42089787	+	20	42087793	42088060	+	1
895	chr20_42087707_42089841_+	chr20_42087793_42088060_+	20	42087707	42089841	+	20	42087793	42088060	+	1
896	chr20_42087735_42088123_+	chr20_42087793_42088060_+	20	42087735	42088123	+	20	42087793	42088060	+	1
897	chr20_42087770_42089869_+	chr20_42087793_42088060_+	20	42087770	42089869	+	20	42087793	42088060	+	1
898	chr3_9470608_9475666_+	chr3_9471511_9471735_+	3	9470608	9475666	+	3	9471511	9471735	+	1
899	chr3_9471067_9476222_+	chr3_9471511_9471735_+	3	9471067	9476222	+	3	9471511	9471735	+	1
900	chr3_9471150_9475661_+	chr3_9471511_9471735_+	3	9471150	9475661	+	3	9471511	9471735	+	1
901	chr3_9471238_9476221_+	chr3_9471511_9471735_+	3	9471238	9476221	+	3	9471511	9471735	+	1
902	chr3_9471288_9476221_+	chr3_9471511_9471735_+	3	9471288	9476221	+	3	9471511	9471735	+	1
903	chr3_9471383_9475641_+	chr3_9471511_9471735_+	3	9471383	9475641	+	3	9471511	9471735	+	1
904	chr3_9471442_9476410_+	chr3_9471609_9471735_+	3	9471442	9476410	+	3	9471609	9471735	+	1
905	chr3_9471442_9476410_+	chr3_9471634_9471735_+	3	9471442	9476410	+	3	9471634	9471735	+	1
906	chr3_9471442_9476410_+	chr3_9471657_9471735_+	3	9471442	9476410	+	3	9471657	9471735	+	1
907	chr3_9471458_9475450_+	chr3_9471609_9471735_+	3	9471458	9475450	+	3	9471609	9471735	+	1
908	chr3_9471458_9475450_+	chr3_9471634_9471735_+	3	9471458	9475450	+	3	9471634	9471735	+	1
909	chr3_9471458_9475450_+	chr3_9471657_9471735_+	3	9471458	9475450	+	3	9471657	9471735	+	1
910	chr3_9471462_9475918_+	chr3_9471609_9471735_+	3	9471462	9475918	+	3	9471609	9471735	+	1
911	chr3_9471462_9475918_+	chr3_9471634_9471735_+	3	9471462	9475918	+	3	9471634	9471735	+	1
912	chr3_9471462_9475918_+	chr3_9471657_9471735_+	3	9471462	9475918	+	3	9471657	9471735	+	1
913	chr3_9471463_9476418_+	chr3_9471609_9471735_+	3	9471463	9476418	+	3	9471609	9471735	+	1
914	chr3_9471463_9476418_+	chr3_9471634_9471735_+	3	9471463	9476418	+	3	9471634	9471735	+	1
915	chr3_9471463_9476418_+	chr3_9471657_9471735_+	3	9471463	9476418	+	3	9471657	9471735	+	1
916	chr3_9471464_9478580_+	chr3_9471609_9471735_+	3	9471464	9478580	+	3	9471609	9471735	+	1
917	chr3_9471464_9478580_+	chr3_9471634_9471735_+	3	9471464	9478580	+	3	9471634	9471735	+	1
918	chr3_9471464_9478580_+	chr3_9471657_9471735_+	3	9471464	9478580	+	3	9471657	9471735	+	1
919	chr3_9471468_9477421_+	chr3_9471609_9471735_+	3	9471468	9477421	+	3	9471609	9471735	+	1
920	chr3_9471468_9477421_+	chr3_9471634_9471735_+	3	9471468	9477421	+	3	9471634	9471735	+	1
921	chr3_9471468_9477421_+	chr3_9471657_9471735_+	3	9471468	9477421	+	3	9471657	9471735	+	1
922	chr3_9471469_9474020_+	chr3_9471609_9471735_+	3	9471469	9474020	+	3	9471609	9471735	+	1
923	chr3_9471469_9474020_+	chr3_9471634_9471735_+	3	9471469	9474020	+	3	9471634	9471735	+	1
924	chr3_9471469_9474020_+	chr3_9471657_9471735_+	3	9471469	9474020	+	3	9471657	9471735	+	1
925	chr3_9471487_9475493_+	chr3_9471609_9471735_+	3	9471487	9475493	+	3	9471609	9471735	+	1
926	chr3_9471487_9475493_+	chr3_9471634_9471735_+	3	9471487	9475493	+	3	9471634	9471735	+	1
927	chr3_9471487_9475493_+	chr3_9471657_9471735_+	3	9471487	9475493	+	3	9471657	9471735	+	1
